"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",2024,9.97,-17.11,147,15.27,181,9.11,1448,10.68,248,6.53,"1-7","kwiecień",2020,13,"4A"
"Kujawsko-Pomorskie",2332,16.06,-12.69,258,37.38,300,19.9,1542,15.74,232,9.17,"1-7","kwiecień",2020,13,"4A"
"Lubelskie",1508,10.2,-6.47,164,23.84,152,10.22,1063,10.73,129,4.77,"1-7","kwiecień",2020,13,"4A"
"Lubuskie",469,6.61,-3.07,58,17.18,61,8.16,285,5.96,65,5.31,"1-7","kwiecień",2020,13,"4A"
"Łódzkie",2746,15.95,-4.31,257,32.55,356,21.2,1882,16.6,251,7.36,"1-7","kwiecień",2020,13,"4A"
"Małopolskie",2677,11.23,-14.99,201,15.58,240,9.44,1988,12.43,248,6.19,"1-7","kwiecień",2020,13,"4A"
"Mazowieckie",9195,24.27,-10.09,740,35.39,904,22,6588,26.45,963,14.21,"1-7","kwiecień",2020,13,"4A"
"Opolskie",588,8.53,-6.45,43,14.27,51,8.19,431,9.19,63,4.94,"1-7","kwiecień",2020,13,"4A"
"Podkarpackie",797,5.35,-5.16,78,10.73,88,5.75,562,5.54,69,2.78,"1-7","kwiecień",2020,13,"4A"
"Podlaskie",670,8.12,-7.13,58,14.53,47,5.83,484,8.64,81,5.6,"1-7","kwiecień",2020,13,"4A"
"Pomorskie",14031,85.74,2.52,967,105.75,999,54.66,7093,65.08,4972,182.55,"1-7","kwiecień",2020,13,"4A"
